,usage_dateID_zulu,usage_timeID_zulu,sunlight_duration_minutes,usage_kWh,passengers,atms
235,20190105,215959,863.38,1229.05,644.0,5.0
236,20190105,222959,863.38,953.46,416.0,3.0
237,20190105,225959,863.38,891.51,509.0,3.0
238,20190105,232959,863.38,857.38,0.0,0.0
239,20190105,235959,863.38,575.45,189.0,1.0
240,20190106,2959,867.32,515.97,191.0,2.0
241,20190106,5959,867.32,522.31,0.0,0.0
242,20190106,12959,867.32,497.67,0.0,0.0
243,20190106,15959,867.32,510.34,0.0,0.0
244,20190106,22959,867.32,507.17,0.0,0.0
245,20190106,25959,867.32,708.15,0.0,0.0
246,20190106,32959,867.32,1005.9,0.0,0.0
247,20190106,35959,867.32,1036.87,0.0,0.0
248,20190106,42959,867.32,947.13,0.0,0.0
249,20190106,45959,867.32,1352.94,0.0,0.0
250,20190106,52959,867.32,1012.24,128.0,1.0
251,20190106,55959,867.32,1287.83,310.0,2.0
252,20190106,62959,867.32,1013.64,1101.0,7.0
253,20190106,65959,867.32,1193.14,634.0,4.0
254,20190106,72959,867.32,963.66,765.0,7.0
255,20190106,75959,867.32,1143.17,1042.0,9.0
256,20190106,82959,867.32,1147.04,825.0,8.0
257,20190106,85959,867.32,1298.73,1266.0,11.0
258,20190106,92959,867.32,1119.22,668.0,6.0
259,20190106,95959,867.32,1171.67,630.0,4.0
260,20190106,102959,867.32,948.53,825.0,6.0
261,20190106,105959,867.32,982.66,893.0,10.0
262,20190106,112959,867.32,976.33,882.0,8.0
263,20190106,115959,867.32,926.36,809.0,6.0
264,20190106,122959,867.32,954.16,1560.0,10.0
265,20190106,125959,867.32,957.33,986.0,8.0
266,20190106,132959,867.32,911.22,1682.0,12.0
267,20190106,135959,867.32,982.66,1184.0,10.0
268,20190106,142959,867.32,883.41,1611.0,12.0
269,20190106,145959,867.32,970.0,1722.0,14.0
270,20190106,152959,867.32,889.05,982.0,9.0
271,20190106,155959,867.32,1078.05,1796.0,15.0
272,20190106,162959,867.32,1000.98,1355.0,13.0
273,20190106,165959,867.32,942.19,1301.0,11.0
274,20190106,172959,867.32,872.51,1222.0,11.0
275,20190106,175959,867.32,1005.9,991.0,10.0
